Timestamp,Actual position,Motor speed,Torque,Energy Consumption
0.38799997,628391493,2.0241094,-0.26793548,16047.0
0.39199997,628391474,2.0241137,-0.26807070000000005,16718.0
0.39599997,628391455,2.0241137,-0.26592392,16150.0
0.39999997,628391435,2.0241127,-0.2669129,16090.0
0.40399997,628391416,2.0241133999999996,-0.26555032,16223.0
0.40799997,628391397,2.0241208,-0.2672607,16652.0
0.41199997,628391378,2.0241132,-0.2666413,17317.0
0.41599997,628391358,2.0241163,-0.26736593,18384.0
0.41999997,628391339,2.0241158,-0.26765576,19366.0
0.42399997,628391320,2.0241187,-0.26715229999999995,19772.0
0.42799997,628391301,2.0241177,-0.26649794,19792.0
0.43199997,628391282,2.024119,-0.2665681,19697.0
0.43599997,628391263,2.0241165,-0.26530924,19193.0
0.43999997,628391244,2.0241187,-0.2651248,18640.0
0.44399996,628391225,2.024115,-0.26643390000000006,18066.0
0.44799996,628391207,2.0241175,-0.2653656,17692.0
0.45199996,628391188,2.0241165,-0.26560559999999994,17522.0
0.45599996,628391169,2.0241165,-0.26703334,17933.0
0.45999996,628391151,2.0241191,-0.26743249999999996,19353.0
0.46399996,628391133,2.0241182,-0.26638678,20046.0
0.46799996,628391114,2.0241132,-0.26501740000000007,20127.0
0.47199996,628391096,2.0241206000000003,-0.26579404,20049.0
0.47599996,628391078,2.0241177,-0.26517329999999995,19751.0
0.47999996,628391060,2.024118,-0.266237,19038.0
0.48399996,628391042,2.0241148,-0.2648696,18133.0
0.48799996,628391025,2.024119,-0.2663629,15059.0
0.49199996,628391007,2.0241213,-0.26617593,14617.0
0.49599996,628390990,2.024118,-0.26641694,14452.0
0.49999996,628390972,2.0241187,-0.2654014,14465.0
0.50399996,628390955,2.0241182,-0.26597247,14561.0
0.50799996,628390938,2.0241191,-0.26612157,14862.0
0.51199996,628390921,2.0241196,-0.26574042,15318.0
0.51599996,628390904,2.0241184,-0.26676327,15865.0
0.51999996,628390888,2.0241153,-0.26720536,16421.0
0.52399996,628390871,2.0241196,-0.26731122,16751.0
0.52799996,628390855,2.024118,-0.2665635,16521.0
0.53199996,628390839,2.024119,-0.26759303,16047.0
0.53599996,628390823,2.0241196,-0.2676739,15790.0
0.53999996,628390807,2.024118,-0.26711804,15702.0
0.54399996,628390792,2.024118,-0.2665606,15488.0
0.54799996,628390776,2.0241172,-0.26647577,15607.0
0.55199996,628390761,2.0241158,-0.26594670000000004,16012.0
0.55599996,628390746,2.0241163,-0.2663594,17243.0
0.55999996,628390731,2.0241172,-0.26602919999999997,17922.0
0.56399996,628390717,2.0241187,-0.26747477,18064.0
0.56799996,628390702,2.0241182,-0.26832268,18086.0
0.57199996,628390688,2.0241156000000005,-0.26751986,17834.0
0.57599996,628390674,2.0241177,-0.2664444,17392.0
0.57999996,628390660,2.0241163,-0.2666966,16842.0
0.58399996,628390647,2.0241175,-0.26652926,16669.0
0.58799996,628390633,2.0241191,-0.26553077,16218.0
0.59199995,628390620,2.0241172,-0.26662803,16135.0
0.59599995,628390607,2.0241172,-0.26709548,16107.0
0.59999995,628390595,2.0241165,-0.26643002,16229.0
0.60399995,628390582,2.024115,-0.26745075,16470.0
0.60799995,628390570,2.0241153,-0.26755026,16935.0
0.61199995,628390558,2.0241175,-0.26652032,17548.0
